compound_reference,compound_name,MDS_coord1,MDS_coord2,T_density,aSite_heterogeneity
Tugtupite,Tugtupite,0.11630450724243800,-0.2194681092717730,71.61628307086090,0.3498810162094730
SU-15,SU-15,0.5626402049613350,0.12311580231288000,65.58490450487200,0.3992115349451910
SCM-14,SCM-14,0.2177865793368980,0.04458634454052270,68.64627718449770,0.24753530830000600
SU-16,SU-16,-0.6378551817619160,-0.5214046952183430,49.01990995064160,0.8323528357507830
SCM-15,SCM-15,0.04841075339075860,0.08180207645450760,58.44144193671830,0.40036631731055400
SSZ-65,SSZ-65,-0.012003928326795300,0.31582431063285100,63.521776555859,0.32475584098181200
SSZ-60,SSZ-60,0.17559370479722400,0.08110931457607570,70.29074059594510,0.3197563141062420
SSZ-35,SSZ-35,0.327303173131765,0.1545199207936950,67.68513554290230,0.28439933504805000
Stilbite,Stilbite,0.4231257044796640,-0.1315164777152020,68.45732530469880,0.35817646162297400
Stellerite,Stellerite,0.5111838648540920,-0.1214690830695230,68.95284417946890,0.351880017626217
Barrerite,Barrerite,0.4436059636873610,-0.026002409089282000,67.7202535128853,0.3465514766313540
SSZ-23,SSZ-23,0.2596361759520310,0.22709437340936800,65.14797622600360,0.3198663717952610
SU-32,SU-32,0.1843034286419490,-0.09769668616450690,64.36687201573090,0.3286555876204850
SSZ-77,SSZ-77,-1.0716095293163600,-0.09080733322285260,45.776386615905900,0.4011612301338510
STA-20,STA-20,-0.5712374488284740,0.31534733673562000,53.07219565707840,0.6815175957199360
SUZ-4,SUZ-4,0.4467852519566810,0.16246841590493200,73.36840864970330,0.27990093510913400
Terranovaite,Terranovaite,0.16259174919176700,0.24479032557387500,67.3860701915797,0.2557457290600760
Thomsonite,Thomsonite,0.045483719253000200,-0.39899883748102700,74.49655834686650,0.548368591966696
Tounkite-like,Tounkite-like,-0.7252013886140990,0.32459617606402000,55.563272618743800,0.415024790443186
ZSM-22,ZSM-22,0.19852617232197900,0.2959644871354360,75.9200544405629,0.2014726516384800
Tschortnerite,Tschortnerite,0.5571329025875380,-0.19026051164840000,55.34740666115320,0.26723652243730300
TNU-9,TNU-9,0.16175752305444700,0.27178007213168300,67.13886423696040,0.3178641756848900
Mu-18,Mu-18,-0.5949771994008,-0.41592096947744000,61.095618315905300,0.9356327578322850
UZM-5,UZM-5,0.19337657599447100,0.27817227986699300,58.64041645314360,0.31173534089450400
IM-16,IM-16,0.2666501607464080,-0.22938871865393800,74.81927763532210,0.3074618515786600
IM-17,IM-17,0.018069954388350000,0.1134420664103140,62.25811533396630,0.48232922553388300
IM-10,IM-10,0.6243576414151900,-0.33377425840957400,78.29437453504690,0.5632669614915460
IM-6,IM-6,-0.7717226522789500,-0.2589340043265170,49.62090325747680,0.8784977606344820
IM-12,IM-12,-0.1204214883255970,0.11078053636898600,57.92676963651930,0.5312513483665730
IM-20,IM-20,-0.08823908885724480,0.34697109553809600,60.72302531535860,0.39436728291778700
VPI-8,VPI-8,0.03787008762669710,0.38579331346387300,73.78771037288920,0.43327794942396900
VPI-5,VPI-5,-0.6787517046966890,0.5210863641913310,46.550470773342400,0.8485138398120900
VPI-7,VPI-7,0.6360798239174060,0.4014032651818790,69.58343745838800,0.7418492384583330
Weinebeneite,Weinebeneite,0.7395239400611590,0.08492703988540910,63.74940350548400,0.4294868498159930
YNU-5,YNU-5,0.41773669514654000,0.179870440694143,66.94096028907300,0.31482004546108600
Yugawaralite,Yugawaralite,-0.03768151941155360,0.02267955304263420,71.61548265335180,0.4670727494768460
ZAPO-M1,ZAPO-M1,-0.6630041052806080,0.1360281635699670,56.539729450880000,0.7189398024413320
